-10
9
-6
5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Door2, Door2, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0
0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0
0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, Bush1, Bush1, Bush1, Bush1, 1, 1, 0
0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, Bush1, Bush1, Bush1, Bush1, 1, 1, 0
0, 1, 1, 1, Door1, 1, 1, 1, Door4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, Door3
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Door3
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Bush2, Bush2, Bush2, Bush2, 1, 1, 0
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Bush2, Bush2, Bush2, Bush2, 1, 1, 0
0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
